State,Talent,SOC,Occupation,Employment_2025,Employment_2024,Total_State_Employment_2025,Projection_Base,Projection_2034,Annual_Openings,Average_Annual_Salary_USD
Alaska,Technical,17-3011,Architectural and Civil Drafters,220.0,120.0,325570,160.0,160.0,10.0,
Alaska,Technical,17-3012,Electrical and Electronics Drafters,80.0,90.0,325570,60.0,60.0,0.0,
Alaska,Technical,17-3013,Mechanical Drafters,50.0,130.0,325570,90.0,80.0,10.0,
Alaska,Technical,17-3023,Electrical and Electronic Engineering Technologists and Technicians,230.0,290.0,325570,310.0,320.0,30.0,96490.0
Alaska,Technical,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,40.0,50.0,325570,50.0,60.0,10.0,90060.0
Alaska,Technical,17-3027,Mechanical Engineering Technologists and Technicians,70.0,60.0,325570,100.0,100.0,10.0,
Alaska,Technical,17-3031,Surveying and Mapping Technicians,300.0,410.0,325570,200.0,190.0,20.0,78990.0
Alaska,Technical,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2720.0,2190.0,325570,630.0,660.0,60.0,98880.0
Alaska,Technical,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",160.0,190.0,325570,260.0,280.0,20.0,90930.0
Alaska,Technical,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",610.0,790.0,325570,430.0,420.0,40.0,80150.0
Alaska,Technical,49-9041,Industrial Machinery Mechanics,860.0,660.0,325570,270.0,300.0,30.0,80250.0
Alaska,Technical,49-9044,Millwrights,300.0,210.0,325570,220.0,240.0,20.0,74840.0
Alaska,Technical,49-9051,Electrical Power-Line Installers and Repairers,490.0,370.0,325570,340.0,330.0,20.0,92220.0
Alaska,Technical,51-1011,First-Line Supervisors of Production and Operating Workers,1110.0,1150.0,325570,610.0,650.0,60.0,82100.0
Alaska,Technical,51-4041,Machinists,120.0,140.0,325570,250.0,250.0,20.0,81160.0
Alaska,Technical,51-4121,"Welders, Cutters, Solderers, and Brazers",790.0,650.0,325570,860.0,840.0,80.0,80100.0
Alaska,Technical,51-8013,Power Plant Operators,650.0,750.0,325570,440.0,450.0,40.0,89690.0
Alaska,Technical,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",60.0,80.0,325570,30.0,30.0,0.0,50770.0
Arizona,Digital,15-1211,Computer Systems Analysts,11330.0,10010.0,3239430,10000.0,11550.0,740.0,112290.0
Arizona,Digital,15-1212,Information Security Analysts,3420.0,4170.0,3239430,4070.0,5490.0,390.0,125170.0
Arizona,Digital,15-1221,Computer and Information Research Scientists,360.0,420.0,3239430,470.0,580.0,40.0,152580.0
Arizona,Digital,15-1241,Computer Network Architects,3990.0,4340.0,3239430,4140.0,4810.0,280.0,131420.0
Arizona,Digital,15-1242,Database Administrators,1120.0,1330.0,3239430,1360.0,1420.0,70.0,104750.0
Arizona,Digital,15-1243,Database Architects,1200.0,850.0,3239430,880.0,980.0,60.0,144610.0
Arizona,Digital,15-1244,Network and Computer Systems Administrators,5810.0,5840.0,3239430,5660.0,5790.0,290.0,96740.0
Arizona,Digital,15-1251,Computer Programmers,1560.0,4170.0,3239430,4330.0,4390.0,240.0,102710.0
